vehicle,before_idle_ratio,before_idle_time_hours,before_engine_on_time_hours,after_idle_ratio,after_idle_time_hours,after_engine_on_time_hours,valid_pair,before_ies_raw,after_ies_raw,before_ies,after_ies,idle_change_pct,idle_change_pp,ies_raw_change,ies_change,change_status
HDV_02,0.1363186614788425,11.555937222222225,84.77149861111111,0.1142733733843431,13.647073333333331,119.4247875,True,183.8833240343152,219.35756211842588,100.0,100.0,-16.171878343979316,-2.2045288094499407,35.47423808411068,0.0,Improved
LDV_07,0.2747752193369578,20.181194722222223,73.4461963888889,0.2557577462476921,22.64038194444445,88.52276138888888,True,91.22630731084487,98.00965549783153,91.22630731084487,98.00965549783153,-6.921101959323529,-1.9017473089265713,6.783348186986657,6.783348186986657,Improved
LDV_06,0.3190014767279618,17.943868333333334,56.25011055555555,0.304904048001703,19.192026666666667,62.94447972222222,True,78.578722762511,82.21185899276125,78.578722762511,82.21185899276125,-4.419236196289088,-1.4097428726258798,3.633136230250244,3.633136230250244,Improved
HDV_03,0.1806520146627815,17.891588055555555,99.0389622222222,0.1778761839425692,20.32471388888889,114.26326694444444,True,138.7569834049708,140.92234297499544,100.0,100.0,-1.5365622826813519,-0.27758307202122856,2.165359570024634,0.0,Improved
HDV_04,0.113769290145924,10.375872777777776,91.20099777777776,0.1138142843898896,11.687738055555556,102.69131083333336,True,220.3294805521486,220.24237761551885,100.0,100.0,0.03954867250017941,0.0044994243965590375,-0.08710293662974777,0.0,Declined
LDV_08,0.2637612770736135,14.626825277777776,55.4547863888889,0.2657566740296038,16.56947861111111,62.34830666666666,True,95.03566588222958,94.3221038273749,95.03566588222958,94.3221038273749,0.7565162627846131,0.19953969559902696,-0.7135620548546768,-0.7135620548546768,Declined
LDV_05,0.3066105642971297,21.87455666666667,71.34312777777777,0.3133990218471529,23.49021777777778,74.95306666666666,True,81.754288728116,79.98342960005584,81.754288728116,79.98342960005584,2.2140325026259275,0.6788457550023219,-1.7708591280601524,-1.7708591280601524,Declined
LDV_02,0.2023409293240702,10.921904444444444,53.97773194444445,0.211590356965736,13.308980555555555,62.89974999999999,True,123.88362890481307,118.46819940238255,100.0,100.0,4.571209429829138,0.9249427641665808,-5.415429502430513,0.0,Declined
LDV_03,0.2578403673758988,21.17382138888889,82.11988527777778,0.2723970633717468,27.13123638888889,99.60179472222222,True,97.21801460239924,92.02275637762274,97.21801460239924,92.02275637762274,5.645623353703238,1.4556695995847968,-5.195258224776495,-5.195258224776495,Declined
HDV_01,0.1734236332200471,14.634573055555556,84.38626722222223,0.1905974959890157,13.107622222222222,68.77121944444444,True,144.54044201018675,131.5165683083409,100.0,100.0,9.902838759684895,1.7173862768968595,-13.023873701845844,0.0,Declined
LDV_01,0.2434942046368635,16.170826666666667,66.41154638888888,0.2614576533615948,20.161874444444447,77.11334583333333,True,102.94589408409752,95.8729961749138,100.0,95.8729961749138,7.377361917718418,1.7963448724731323,-7.072897909183723,-4.127003825086206,Declined
LDV_04,0.2887405385742467,20.228458888888888,70.05756444444445,0.3404588368422407,27.660257222222224,81.24405722222222,True,86.81402592241983,73.6263121648781,86.81402592241983,73.6263121648781,17.91168587665953,5.171829826799401,-13.18771375754173,-13.18771375754173,Declined
