vehicle,period,analysis_start,analysis_end,distance_km,fuel_used_l,fuel_efficiency_km_l,avg_speed_kmh,avg_rpm,rpm_efficiency_ratio,idle_ratio,idle_time_hours,engine_on_time_hours,harsh_braking_record_count,harsh_braking_threshold_record_count,harsh_braking_event_count,side_accel_record_count,side_accel_threshold_record_count,side_accel_event_count,record_count
HDV_01,after,2026-05-18 00:00:02.077000+09:00,2026-06-17 20:34:05.147000+09:00,9905.900000000001,2470.449999999997,4.009755307737462,51.197820971861,1134.1454794232545,0.4637481424190655,0.19059749598901576,13.107622222222222,68.77121944444444,1068,4.0,4.0,1301,13.0,11.0,56073
HDV_01,before,2026-04-18 00:09:03.060000+09:00,2026-05-17 23:59:26.523000+09:00,9614.0,2370.0899999999965,4.056386044411822,51.892810110749835,1136.4867608863908,0.45800009605734876,0.17342363322004717,14.634573055555556,84.38626722222223,947,2.0,2.0,1123,9.0,7.0,58027
HDV_02,after,2026-05-18 08:36:43.723000+09:00,2026-06-17 23:59:38.020000+09:00,9402.6,2545.7000000000116,3.693522410338986,53.8088613243883,1123.7389926847875,0.4837821574038873,0.11427337338434311,13.647073333333331,119.4247875,2379,5.0,5.0,2783,50.0,47.0,68139
HDV_02,before,2026-04-18 00:43:13.573000+09:00,2026-05-16 13:44:19.687000+09:00,8495.900000000001,2195.459999999992,3.8697585016352076,54.423085085147925,1102.891300260712,0.4505637727952362,0.1363186614788425,11.555937222222223,84.77149861111111,1514,8.0,8.0,1715,35.0,32.0,53231
HDV_03,after,2026-05-18 00:00:09.977000+09:00,2026-06-17 23:58:10.057000+09:00,10543.1,2715.6600000000035,3.88233431283739,49.94238764963716,1096.1113653678758,0.433943081486994,0.1778761839425692,20.32471388888889,114.26326694444444,1441,6.0,6.0,1637,21.0,21.0,74331
HDV_03,before,2026-04-18 00:07:41.433000+09:00,2026-05-17 23:45:11.003000+09:00,10175.400000000001,2614.9100000000035,3.891300274196813,50.83287139107603,1111.9360882969804,0.44374493011259997,0.18065201466278155,17.891588055555555,99.03896222222221,1296,2.0,2.0,1516,22.0,21.0,67886
HDV_04,after,2026-05-18 11:10:36.220000+09:00,2026-06-17 19:50:11.320000+09:00,8872.0,2135.9799999999996,4.15359694379161,51.68741895794527,1155.1776891299926,0.49367286011591377,0.11381428438988965,11.687738055555556,102.69131083333335,1392,0.0,0.0,1690,31.0,29.0,77286
HDV_04,before,2026-04-20 07:10:51.237000+09:00,2026-05-15 20:25:46.493000+09:00,7558.799999999999,1822.7100000000028,4.147011866945366,51.3977555253135,1145.2010847518507,0.4774183718722585,0.11376929014592406,10.375872777777776,91.20099777777777,1274,5.0,5.0,1446,29.0,28.0,65891
LDV_01,after,2026-05-18 09:30:56.787000+09:00,2026-06-17 17:02:23.977000+09:00,2129.3,208.5699999999997,10.209042527688561,24.56795714090199,1182.3556097424594,0.22664155960596716,0.2614576533615948,20.161874444444447,77.11334583333333,5377,50.0,45.0,5790,117.0,98.0,83163
LDV_01,before,2026-04-20 09:16:29.897000+09:00,2026-05-15 17:29:10.550000+09:00,2086.4,187.97000000000116,11.099643560142507,28.004570053365974,1225.8831975942585,0.23519487468402003,0.24349420463686353,16.170826666666667,66.41154638888888,4470,57.0,53.0,4667,89.0,73.0,68351
