calculation_version,vehicle,period,analysis_start,analysis_end,distance_km,fuel_used_l,fuel_efficiency_km_l,avg_speed_kmh,avg_rpm,rpm_efficiency_ratio,idle_ratio,idle_time_hours,engine_on_time_hours,harsh_braking_record_count,harsh_braking_threshold_record_count,harsh_braking_event_count,side_accel_record_count,side_accel_threshold_record_count,side_accel_event_count,record_count
v2_time_weighted,HDV_01,after,2026-05-18 00:00:02.077000+09:00,2026-06-17 20:34:05.147000+09:00,9905.9,2470.449999999997,4.009755307737462,51.197820971861,1134.1454794232543,0.4637481424190655,0.1905974959890157,13.107622222222222,68.77121944444444,1068,4.0,4.0,1301,13.0,11.0,56073
v2_time_weighted,HDV_01,before,2026-04-18 00:09:03.060000+09:00,2026-05-17 23:59:26.523000+09:00,9614.0,2370.0899999999965,4.056386044411822,51.892810110749835,1136.4867608863908,0.4580000960573487,0.1734236332200471,14.634573055555556,84.38626722222223,947,2.0,2.0,1123,9.0,7.0,58027
v2_time_weighted,HDV_02,after,2026-05-18 08:36:43.723000+09:00,2026-06-17 23:59:38.020000+09:00,9402.6,2545.7000000000116,3.693522410338986,53.8088613243883,1123.7389926847875,0.4837821574038873,0.1142733733843431,13.647073333333331,119.4247875,2379,5.0,5.0,2783,50.0,47.0,68139
v2_time_weighted,HDV_02,before,2026-04-18 00:43:13.573000+09:00,2026-05-16 13:44:19.687000+09:00,8495.900000000001,2195.459999999992,3.869758501635208,54.423085085147925,1102.891300260712,0.4505637727952362,0.1363186614788425,11.555937222222225,84.77149861111111,1514,8.0,8.0,1715,35.0,32.0,53231
v2_time_weighted,HDV_03,after,2026-05-18 00:00:09.977000+09:00,2026-06-17 23:58:10.057000+09:00,10543.1,2715.6600000000035,3.88233431283739,49.94238764963716,1096.1113653678758,0.433943081486994,0.1778761839425692,20.32471388888889,114.26326694444444,1441,6.0,6.0,1637,21.0,21.0,74331
v2_time_weighted,HDV_03,before,2026-04-18 00:07:41.433000+09:00,2026-05-17 23:45:11.003000+09:00,10175.4,2614.9100000000035,3.891300274196813,50.83287139107603,1111.9360882969804,0.4437449301125999,0.1806520146627815,17.891588055555555,99.0389622222222,1296,2.0,2.0,1516,22.0,21.0,67886
v2_time_weighted,HDV_04,after,2026-05-18 11:10:36.220000+09:00,2026-06-17 19:50:11.320000+09:00,8872.0,2135.9799999999996,4.15359694379161,51.68741895794527,1155.1776891299926,0.4936728601159137,0.1138142843898896,11.687738055555556,102.69131083333336,1392,0.0,0.0,1690,31.0,29.0,77286
v2_time_weighted,HDV_04,before,2026-04-20 07:10:51.237000+09:00,2026-05-15 20:25:46.493000+09:00,7558.799999999999,1822.7100000000028,4.147011866945366,51.3977555253135,1145.2010847518509,0.4774183718722585,0.113769290145924,10.375872777777776,91.20099777777776,1274,5.0,5.0,1446,29.0,28.0,65891
v2_time_weighted,LDV_01,after,2026-05-18 09:30:56.787000+09:00,2026-06-17 17:02:23.977000+09:00,2129.3,208.5699999999997,10.20904252768856,24.56795714090199,1182.3556097424594,0.2266415596059671,0.2614576533615948,20.161874444444447,77.11334583333333,5377,50.0,45.0,5790,117.0,98.0,83163
v2_time_weighted,LDV_01,before,2026-04-20 09:16:29.897000+09:00,2026-05-15 17:29:10.550000+09:00,2086.4,187.97000000000116,11.099643560142509,28.004570053365978,1225.8831975942585,0.23519487468402,0.2434942046368635,16.170826666666667,66.41154638888888,4470,57.0,53.0,4667,89.0,73.0,68351
v2_time_weighted,LDV_02,after,2026-05-18 12:49:26.353000+09:00,2026-06-17 17:33:17.717000+09:00,2041.2,223.27000000000044,9.142294083396765,30.928790191137825,1263.673251694615,0.2648609003378538,0.211590356965736,13.308980555555555,62.89974999999999,1463,10.0,7.0,1636,25.0,24.0,54288
v2_time_weighted,LDV_02,before,2026-04-20 09:19:58.467000+09:00,2026-05-15 17:30:20.770000+09:00,1819.1,188.5599999999995,9.64732711073401,32.07732089806216,1276.549403058744,0.2772242821296154,0.2023409293240702,10.921904444444444,53.97773194444445,1227,3.0,3.0,1307,10.0,10.0,46062
v2_time_weighted,LDV_03,after,2026-05-18 09:24:11.720000+09:00,2026-06-17 17:40:16.987000+09:00,2158.0,254.08999999999992,8.493053642410173,17.429685981447392,1081.6346632118334,0.2140859885604916,0.2723970633717468,27.13123638888889,99.60179472222222,3542,12.0,11.0,4450,87.0,70.0,87795
v2_time_weighted,LDV_03,before,2026-04-20 09:17:24.883000+09:00,2026-05-15 18:04:01.387000+09:00,1889.6,213.2800000000001,8.85971492873218,17.998875265381,1088.990993405186,0.2065433510049061,0.2578403673758988,21.17382138888889,82.11988527777778,5397,23.0,21.0,6472,124.0,101.0,92398
v2_time_weighted,LDV_04,after,2026-05-18 09:23:10.527000+09:00,2026-06-17 18:32:16.613000+09:00,2325.6000000000004,260.6299999999992,8.922994283083327,27.185666519798374,1203.666829310548,0.1543113930244074,0.3404588368422407,27.660257222222224,81.24405722222222,6428,153.0,146.0,6323,115.0,110.0,94280
v2_time_weighted,LDV_04,before,2026-04-20 09:29:52.813000+09:00,2026-05-15 18:11:09.430000+09:00,2001.6,225.95999999999913,8.858204992034022,27.518510196946675,1249.421642511582,0.1721353966265915,0.2887405385742467,20.228458888888888,70.05756444444445,6388,196.0,185.0,6388,198.0,168.0,86433
v2_time_weighted,LDV_05,after,2026-05-19 09:11:49.733000+09:00,2026-06-18 17:03:51.447000+09:00,1650.8000000000002,195.88999999999945,8.427178518556358,18.66872713258567,1162.2141985429555,0.1902697743629433,0.3133990218471529,23.49021777777778,74.95306666666666,11752,221.0,215.0,13062,460.0,373.0,118585
v2_time_weighted,LDV_05,before,2026-04-20 08:14:56.387000+09:00,2026-05-18 18:21:39.513000+09:00,1563.3,174.4499999999971,8.961306964746495,18.37772202027806,1184.7260274449486,0.203935055624286,0.3066105642971297,21.87455666666667,71.34312777777777,12148,242.0,233.0,13535,472.0,381.0,118086
v2_time_weighted,LDV_06,after,2026-05-19 08:38:58.043000+09:00,2026-06-18 17:30:16.840000+09:00,1452.8,189.89000000000033,7.650745168255292,21.53946218149757,1201.0454382937917,0.209174247881974,0.304904048001703,19.192026666666667,62.94447972222222,3440,57.0,53.0,3391,68.0,57.0,66636
v2_time_weighted,LDV_06,before,2026-04-20 07:56:35.910000+09:00,2026-05-18 17:31:59.487000+09:00,1320.4,188.38999999999945,7.008864589415596,22.10333672733546,1231.5583014059923,0.168922102685738,0.3190014767279618,17.943868333333334,56.25011055555555,7284,124.0,123.0,7005,137.0,116.0,83644
v2_time_weighted,LDV_07,after,2026-05-19 09:15:18.653000+09:00,2026-06-18 17:02:43.867000+09:00,1501.8,202.27000000000044,7.424729322193092,13.545306508692963,1066.822829064144,0.2427068579131237,0.2557577462476921,22.64038194444445,88.52276138888888,0,,,0,,,85234
v2_time_weighted,LDV_07,before,2026-04-20 09:15:36.607000+09:00,2026-05-18 18:07:02.787000+09:00,1273.1,155.76000000000022,8.17347200821776,14.474799296005225,1078.118506566538,0.2151085381482547,0.2747752193369578,20.181194722222223,73.4461963888889,0,,,0,,,70478
v2_time_weighted,LDV_08,after,2026-05-19 09:08:38.967000+09:00,2026-06-18 17:44:21.047000+09:00,1513.2,195.40999999999983,7.743718335806771,21.762074120790448,1203.0900807389955,0.202750234002471,0.2657566740296038,16.56947861111111,62.34830666666666,7475,283.0,274.0,6920,85.0,80.0,91161
v2_time_weighted,LDV_08,before,2026-04-20 09:22:39.930000+09:00,2026-05-18 15:10:33.747000+09:00,1252.5,140.8600000000024,8.891807468408198,20.58416168176595,1188.8570343925387,0.2446199621112965,0.2637612770736135,14.626825277777776,55.4547863888889,4366,135.0,133.0,4223,38.0,36.0,62786
